11.2.2015,11.3.2015,11.4.2015,11.5.2015,11.6.2015,11.7.2015,11.8.2015
sheets,bed,bed,bed,air mattress,air mattress,air mattress
pillow,sheets,sheets,sheets,sheets,sheets,sheets
mattress,comforter,mattress,pillow,blanket,blanket,blanket
comforter,pillow,pillow,mattress,pillow,pillow,pillow
hardwood floor,iPhone,iPhone,iPhone,stuffed animal,pillow case,pillow case
desk,clothes,iPhone charger,hardwood floor,toilet,stuffed animal,stuffed animal
glasses,backpack,desk,desk,door,iPhone,iPhone
iPhone,iPhone,notebook,chair,iPhone,iPhone charger,iPhone charger
door,door,pen,door,toiletry bag,water bottle,glasses couch
inhaler,stairs,prednizone,sink,inhaler,chair,door
spacer,sidewalk,door,hand soap,spacer,window,toilet
gym shorts,bike lock,hardwood floor,contact case,inhaler,toiletry bag,sink
t-shirt,bike,toilet,contacts,inhaler,inhaler,door
closet door,street,sink,toilet,heart burn pill,spacer,pillow
fleece jacket,keys,soap,inhaler,spacer,inhaler,pillow
bowl,door,iPhone,spacer,toothbrush,inhaler,mattress
spoon,couch,dishwasher,inhaler,toothpaste,heart burn pill,sheets
counter,notebook,bowl,bowl,sink,sink,blanket
chocolate animal crackers,pen,pantry,door,water bottle,hand sanitizer,glasses
banana,inhaler,frosted mini wheats,pantry,pants,soap,iPhone
toilet,spacer,fridge,frosted mini wheats,t-shirt,contact case,door
sink,backpack,milk,fridge,wallet,contacts,toilet
hand soap,deodorant,spoon,milk,sambas,towel,sink
keys,paper towel,chair,spoon,door,backpack,hand soap
wallet,counter,desk,inhaler,stairs,bag,heart burn pill
iPhone,garbage bin,bed,spacer,door,hand soap,toiletry bag
backpack,pantry,lamp,pants,sidewalk,shower,door
bike lock,frosted mini wheats,book,deodorant,street,body wash,door
stack of paper,bowl,pencil,shirt,door,towel,shelf
bicycle,spoon,curtains,inhaler,frosted mini wheats,socks,inhaler
sambas,fridge,inhaler,spacer,bananas,underwear,spacer
curtains,milk,spacer,toothbrush,yogurt,pants,inhaler
door,desk,soap,toothpaste,yogurt,belt,inhaler
helmet,light,sink,listerine,wallet,backpack,toothbrush
bicycle,laptop,contact case,laptop,credit card,shirt,toothpaste
sidewalk,laptop charger,contacts,laptop case,bag,deodorant,sink
street,iPhone,floss,laptop charger,iPhone,jacket,towel
backpack,inhaler,inhaler,book,door,hand sanitizer,hand soap
keys,spacer,spacer,book,hand soap,book,backpack
door,wallet,pantry,backpack,hand sanitizer,pencil,bag
